hour,walkin_demand,walkin_demand_std,driveThru_demand,driveThru_demand_std,total_demand,total_demand_std,happiness_rate,happiness_rate_std,avg_wait_walkin,avg_wait_walkin_std,avg_wait_driveThru,avg_wait_driveThru_std,current_price,staff_count,revenue,revenue_std,staff_cost,promotion_cost,profit,profit_std,strategy,repetitions
10,15.566666666666666,4.506908277547062,24.833333333333332,5.21589451154407,40.4,6.5554048946905885,0.6859119331640512,0.3255492092795155,5.9087221451186815,5.837393518894039,5.84963668084427,5.2804239224474525,10.0,4.0,404.0,65.5540489469059,60.0,0.0,344.0,65.5540489469059,reduce_staff,30
11,17.566666666666666,4.409711504798874,25.133333333333333,6.45875805055086,42.7,7.3082145562373855,0.7224244005845044,0.3002857611301772,5.923717197899539,5.462073926075729,5.42835349915875,4.905700104042455,10.0,4.0,427.0,73.08214556237385,60.0,0.0,367.0,73.08214556237385,reduce_staff,30
12,15.533333333333333,3.947432358156656,26.7,5.894347574866394,42.233333333333334,7.283237985645915,0.7273589512232373,0.3264981974635937,4.91230107474563,4.5997860172288485,5.097388422255152,4.959843308203155,10.0,4.0,422.3333333333333,72.83237985645913,60.0,0.0,362.3333333333333,72.83237985645913,reduce_staff,30
13,15.4,3.693237062523878,26.566666666666666,5.559876097740149,41.96666666666667,5.758954380402361,0.7360585208504145,0.34307038854676325,5.329662101950219,4.704955645669423,5.9249403448994125,5.853183609045787,10.0,4.0,419.6666666666667,57.58954380402361,60.0,0.0,359.6666666666667,57.58954380402361,reduce_staff,30
14,15.733333333333333,3.37573037364591,26.533333333333335,5.584104424365846,42.266666666666666,6.77708557485361,0.8018143390994992,0.2743353748709513,4.592858848378463,4.030361051063356,5.057326689983055,4.628031057914169,10.0,4.0,422.6666666666667,67.7708557485361,60.0,0.0,362.6666666666667,67.7708557485361,reduce_staff,30
15,17.233333333333334,5.257904102925001,25.633333333333333,5.534638400313269,42.86666666666667,7.154175160158033,0.8112610526436657,0.2147750903235488,3.6736704005309306,3.894816862968151,3.5254508484777394,3.6399922056043112,10.0,4.0,428.6666666666667,71.54175160158033,60.0,0.0,368.6666666666667,71.54175160158033,reduce_staff,30
16,17.2,3.9530578880996248,26.0,5.69795284875776,43.2,6.1827717624595095,0.7824900730386507,0.2834110927567602,4.481054936409186,3.9708922070873083,4.987329771185851,4.840820351656922,10.0,4.0,432.0,61.82771762459509,60.0,0.0,372.0,61.82771762459509,reduce_staff,30
17,16.8,3.9614812044654877,25.533333333333335,5.684677260456882,42.333333333333336,7.331818025261917,0.7637438757506818,0.31193802145995825,4.433974676521731,4.047659830776542,4.807726716844617,4.802480742820386,10.0,4.0,423.3333333333333,73.31818025261917,60.0,0.0,363.3333333333333,73.31818025261917,reduce_staff,30
18,16.866666666666667,5.601983775612191,27.866666666666667,4.8424052792893,44.733333333333334,7.62423038010322,0.7060357677530577,0.29690299584390656,4.90163435267119,3.9807951392797625,5.416875480927839,4.2939303998533624,10.0,4.0,447.3333333333333,76.2423038010322,60.0,0.0,387.3333333333333,76.2423038010322,reduce_staff,30
19,16.0,4.74692883171144,26.666666666666668,5.008881001669824,42.666666666666664,8.23137628562536,0.6708781908742195,0.35951110082747806,5.708368661934535,4.767116337237813,5.28466602964971,4.584704161160877,10.0,4.0,426.6666666666667,82.31376285625362,60.0,0.0,366.6666666666667,82.31376285625362,reduce_staff,30
20,16.033333333333335,3.582209125975509,28.2,6.4,44.233333333333334,6.9314901396132385,0.6537812068756221,0.3547154411185938,5.00719922082209,4.144135770012172,5.46920234709945,3.9945367025617657,10.0,4.0,442.3333333333333,69.3149013961324,60.0,0.0,382.3333333333333,69.3149013961324,reduce_staff,30
21,15.7,4.212283624512164,25.266666666666666,4.774469138611701,40.96666666666667,7.110946178642864,0.728478704215611,0.3453473108812712,4.097033064294565,4.681663984921427,4.504123540072679,4.456549791009564,10.0,4.0,409.6666666666667,71.10946178642865,60.0,0.0,349.6666666666667,71.10946178642865,reduce_staff,30
22,16.066666666666666,4.186751591495355,27.533333333333335,6.286139956726668,43.6,7.269112738154499,0.708342688795825,0.3217771707625785,4.3618364908216165,4.390458069660687,4.462606374722568,4.093374111189517,10.0,4.0,436.0,72.69112738154499,60.0,0.0,376.0,72.69112738154499,reduce_staff,30
23,16.233333333333334,4.088058490557862,25.166666666666668,5.865624907506066,41.4,7.250747087944341,0.7408955206176505,0.32993522607241454,4.447290156075222,3.9642984512376733,4.596085703750253,4.298412937535359,10.0,4.0,414.0,72.5074708794434,60.0,0.0,354.0,72.5074708794434,reduce_staff,30
2,17.4,6.2,24.9,4.3,42.3,7.887331614684398,0.9955579378692586,0.012270127863413709,0.2823626939741853,0.3602532064920825,0.4250166952169836,0.5212190163980829,8.0,6.0,338.4,63.098652917475185,90.0,100.0,148.4,63.098652917475185,promotion,30
3,16.7,4.067349669420289,26.0,4.633213427705081,42.7,5.298741989063694,0.9970305302774969,0.009670257816986145,0.35925265911841164,0.46568531001537244,0.4138032902738912,0.42678792791816983,8.0,6.0,341.6,42.38993591250955,90.0,100.0,151.6,42.38993591250954,promotion,30
4,16.1,4.1340053217188775,27.266666666666666,5.7034102858630895,43.36666666666667,8.130122316969707,0.988123825859675,0.03456223047792364,0.49250307589077896,1.0324830356296524,0.5300474391674306,0.9648120269411523,8.0,6.0,346.93333333333334,65.04097853575766,90.0,100.0,156.93333333333334,65.04097853575766,promotion,30
5,18.3,4.576388678131845,25.966666666666665,5.930055274241174,44.266666666666666,8.729006561777553,0.9940285204991087,0.02234589665170327,0.42471271851867753,0.6048321623028166,0.520597896769771,0.823200357566435,8.0,6.0,354.1333333333333,69.83205249422042,90.0,100.0,164.13333333333333,69.83205249422042,promotion,30
6,17.2,4.4825587930704645,27.933333333333334,5.4279114051559665,45.13333333333333,8.325596408399553,0.9938828102498367,0.013968676968215774,0.4382610178451578,0.5122872997451295,0.41187145191605734,0.5121198243093987,8.0,6.0,361.06666666666666,66.60477126719643,90.0,100.0,171.06666666666666,66.60477126719643,promotion,30
7,18.933333333333334,4.552898954390366,25.933333333333334,4.31997942381931,44.86666666666667,6.505040780468295,0.9957419709919709,0.010359969103817427,0.5078020205346727,0.9473274125162249,0.48951431184051264,0.7571188407034154,8.0,6.0,358.93333333333334,52.04032624374636,90.0,100.0,168.93333333333334,52.04032624374636,promotion,30
8,17.233333333333334,3.179972047396364,25.466666666666665,6.616813600383664,42.7,6.890331390192105,0.9880803881244972,0.02908700827348826,0.5109815218855434,0.9322585112949614,0.48525149931711814,0.781738038363285,8.0,6.0,341.6,55.12265112153684,90.0,100.0,151.6,55.12265112153684,promotion,30
9,17.033333333333335,5.313400250519645,27.2,7.152621896899067,44.233333333333334,9.39391055714049,0.9878238638826154,0.023959837684818134,0.5897364116643351,0.9849545604283673,0.5422625408902856,0.9010827842832327,8.0,6.0,353.8666666666667,75.15128445712392,90.0,100.0,163.86666666666667,75.15128445712392,promotion,30
10,16.933333333333334,4.9324323501583756,26.133333333333333,6.4277177563701064,43.06666666666667,8.282243389055623,0.9886845495186469,0.024599101717769613,0.33975276304461643,0.40697354195277285,0.4132972432341521,0.6034029997248632,8.0,6.0,344.53333333333336,66.25794711244498,90.0,100.0,154.53333333333333,66.25794711244498,promotion,30
11,16.266666666666666,3.6325687268867406,29.366666666666667,5.930055274241173,45.63333333333333,6.046945969293554,0.9954217325227963,0.012733046744292998,0.24931680090799524,0.3948844852397447,0.2720249358678819,0.446502367658258,8.0,6.0,365.06666666666666,48.37556775434843,90.0,100.0,175.06666666666666,48.37556775434843,promotion,30
12,16.733333333333334,4.31225643434566,26.933333333333334,5.144144459696114,43.666666666666664,6.847546194724712,0.9834878394684529,0.04813934014976739,0.3100887905467144,0.7882831499996982,0.3803543702186031,1.1147418650912595,8.0,6.0,349.3333333333333,54.7803695577977,90.0,100.0,159.33333333333334,54.7803695577977,promotion,30
13,17.633333333333333,4.672496358716851,27.233333333333334,5.8119608471572555,44.86666666666667,7.278888804084194,0.9924197357302966,0.023498928951573985,0.44353473444352237,0.6295917920497924,0.5151859784553227,1.0165672380790192,8.0,6.0,358.93333333333334,58.23111043267355,90.0,100.0,168.93333333333334,58.23111043267355,promotion,30
14,16.866666666666667,4.112852484049915,27.0,4.788875998951459,43.86666666666667,6.785933162718956,0.9906954848348107,0.021050109544296838,0.20458568065434543,0.19925868804213703,0.21932373308222486,0.22550603774660194,8.0,6.0,350.93333333333334,54.287465301751645,90.0,100.0,160.93333333333334,54.287465301751645,promotion,30
15,17.266666666666666,3.957552554574888,27.933333333333334,5.3099487337973015,45.2,7.054076835419359,0.9928725755631126,0.015701335265404615,0.41848192088295855,0.5359043372618045,0.36408302322984765,0.38833480698877537,8.0,6.0,361.6,56.43261468335487,90.0,100.0,171.6,56.43261468335488,promotion,30
16,16.6,3.720215047547655,26.833333333333332,5.802777112919488,43.43333333333333,7.614386967372284,0.9945873541034832,0.015203857179119734,0.4725217250486823,0.8667080792874199,0.44563563292779934,0.7832149579878749,8.0,6.0,347.46666666666664,60.91509573897827,90.0,100.0,157.46666666666667,60.915095738978266,promotion,30
17,17.633333333333333,3.516469188768125,27.833333333333332,5.190268672129497,45.46666666666667,5.880665117333432,0.9982905982905983,0.009205409926725656,0.3153380863804286,0.34589670502721637,0.2811352877780368,0.30974701665025917,8.0,6.0,363.73333333333335,47.04532093866746,90.0,100.0,173.73333333333332,47.045320938667444,promotion,30
18,18.6,4.355838993045236,27.9,5.587784295526566,46.5,7.605918747922567,0.9839031060350346,0.035833503918745235,0.6637195039189762,1.0644576319905046,0.6272423483589225,0.8364477745356027,8.0,6.0,372.0,60.84734998338054,90.0,100.0,182.0,60.84734998338054,promotion,30
19,17.366666666666667,4.191128196029746,27.033333333333335,5.186413875587725,44.4,6.641285016219879,0.995485893416928,0.015093829582317917,0.35606793182555896,0.417845917407586,0.37199010695177454,0.358331374138357,8.0,6.0,355.2,53.13028012975903,90.0,100.0,165.2,53.13028012975903,promotion,30
20,18.433333333333334,4.594803828480844,26.933333333333334,5.124668010927365,45.36666666666667,7.30973475730975,0.9960694487355685,0.010368455732838615,0.24996533096971732,0.32007181771130744,0.22979446743483922,0.31474093750206705,8.0,6.0,362.93333333333334,58.477878058478,90.0,100.0,172.93333333333334,58.477878058478,promotion,30
21,16.8,4.237924020083418,27.066666666666666,4.8848973604592985,43.86666666666667,6.365183073216006,0.9938091654639203,0.014870433991571536,0.5145973056652217,1.0115219457025537,0.4595575944538213,0.7185535336995085,8.0,6.0,350.93333333333334,50.921464585728046,90.0,100.0,160.93333333333334,50.921464585728046,promotion,30
22,17.0,4.320493798938574,27.766666666666666,6.458499997849518,44.766666666666666,7.697113456066212,0.9850847666080356,0.02752752121522109,0.5297397620828155,0.8810391622511431,0.49809526785753183,0.9335341908911543,8.0,6.0,358.1333333333333,61.5769076485297,90.0,100.0,168.13333333333333,61.5769076485297,promotion,30
23,16.633333333333333,3.9705862987165457,25.933333333333334,4.668571040003092,42.56666666666667,6.761081438810083,0.9873687455954898,0.03870158721046378,0.4312480290483112,0.9174785072322604,0.44413969458040475,0.9195848475423007,8.0,6.0,340.53333333333336,54.088651510480666,90.0,100.0,150.53333333333333,54.08865151048066,promotion,30
2,16.766666666666666,4.848940319515412,27.866666666666667,5.103811212112855,44.63333333333333,7.3415862651670105,0.7665856632493805,0.25918657436763615,4.960934613637963,3.8446939408170016,4.75212131061773,3.5498212675216627,8.0,4.0,357.06666666666666,58.732690121336084,60.0,100.0,197.06666666666666,58.732690121336084,combined,30
3,17.7,4.196427051671457,25.566666666666666,4.630934630887761,43.266666666666666,5.537347941228023,0.6072363694404573,0.3404724940778983,6.85160639714099,5.3334159817348485,6.379564709183511,4.523179761564015,8.0,4.0,346.1333333333333,44.298783529824185,60.0,100.0,186.13333333333333,44.298783529824185,combined,30
4,16.633333333333333,4.39305006674052,25.833333333333332,5.859939324676398,42.46666666666667,7.636462240825627,0.6340097420155608,0.32119184769814946,6.599730710383088,4.929729101253392,6.584704877256602,4.674608422532984,8.0,4.0,339.73333333333335,61.091697926605015,60.0,100.0,179.73333333333332,61.09169792660502,combined,30
5,16.966666666666665,4.771326393735348,25.2,6.774461848245463,42.166666666666664,7.810605325808977,0.697310562929773,0.3272513454116645,4.866865052876175,4.440055840832708,5.085448246541321,4.556672903111081,8.0,4.0,337.3333333333333,62.484842606471815,60.0,100.0,177.33333333333334,62.484842606471815,combined,30
6,17.733333333333334,4.41160086841752,25.733333333333334,5.567365225630123,43.46666666666667,6.616813600383664,0.6937125947517941,0.34074782086274563,4.737510133939419,4.7170170862719125,5.053609517842375,5.00228227432486,8.0,4.0,347.73333333333335,52.93450880306931,60.0,100.0,187.73333333333332,52.93450880306931,combined,30
7,17.566666666666666,4.6092901357536125,26.866666666666667,5.346234396490882,44.43333333333333,7.61000803036516,0.6989240974948481,0.3142785483712258,5.77527635820333,4.426535193064479,5.309931052908954,4.14584553573035,8.0,4.0,355.46666666666664,60.88006424292128,60.0,100.0,195.46666666666667,60.880064242921286,combined,30
8,17.866666666666667,3.3934577580331764,23.433333333333334,4.263670823233061,41.3,6.011932578907827,0.7284830907923898,0.31979547444433826,4.8536747774050095,4.66673246308384,4.716503659476871,4.71500200477652,8.0,4.0,330.4,48.09546063126262,60.0,100.0,170.4,48.095460631262625,combined,30
9,15.366666666666667,4.377848279184143,26.5,5.578231499917036,41.86666666666667,5.914577095805095,0.6712216407652593,0.3567781894491767,5.223430243857721,4.918793895164211,5.192174003675443,5.074816979517798,8.0,4.0,334.93333333333334,47.31661676644076,60.0,100.0,174.93333333333334,47.31661676644076,combined,30
10,15.633333333333333,5.388155734778109,26.533333333333335,6.37564811520279,42.166666666666664,7.532522080212503,0.7487576219896414,0.33469057497108706,4.043250434418037,4.150542692133305,4.924634167570546,4.9281907974637065,8.0,4.0,337.3333333333333,60.26017664170002,60.0,100.0,177.33333333333334,60.26017664170002,combined,30
11,17.166666666666668,5.323428302221125,26.766666666666666,5.678517020803545,43.93333333333333,8.136065115002188,0.7311209213731839,0.3193637737547716,4.505045394595923,3.690619045331256,5.031735171411366,4.282935163496166,8.0,4.0,351.46666666666664,65.0885209200175,60.0,100.0,191.46666666666667,65.08852092001749,combined,30
